,SSIM,SSIM,SSIM,TSS,TSS,TSS
,Main phase,Recovery phase,Main+Recovery,Main phase,Recovery phase,Main+Recovery
MadTEC,1.0,1.0,1.0,1.0,1.0,1.0
Klobuchar,0.036367986347745455,0.15246117508684745,0.13181951868711983,0.021705117902816793,0.03221564885216456,0.032691626212500415
IRI2020,-0.023770317897857475,0.4823350143342526,0.3927442634370518,0.08162027513721636,0.08156868061081618,0.13280851111801528
IRTAM,0.12628340584584716,0.2673549910522606,0.26950703216013366,0.1561557104998535,0.07467071327296791,0.42797694617747073
GloTEC,0.7372169457367251,0.7883481518903419,0.7704163227443624,0.8075449231532388,0.6980136116221826,0.8774956304132434
GIS,0.42758402240324095,0.5467613286717339,0.45671678419180123,0.7501102728247478,0.5142916713176798,0.8008214001508867
NEDM,-0.0041523515867835014,0.12060140971830005,0.09906354096883042,0.00039647531731928573,0.0015877912739289649,0.0015474622565123132
CTIPe,-0.0779627212020042,0.5656188478731683,0.4559925303289951,0.3562840819539596,0.26518288808841367,0.23161476105090514
SAMI3-TIEGCM,0.13543042108916512,0.15102970251098555,0.1559486759103631,0.275781288845734,0.09374782978293521,0.1447818044939699
SAMI3-HWM,-0.013344675922322819,0.05187800854471273,0.05275046519198177,0.42293159338242303,0.023674228158801502,0.11428294899590964
SAMI3-WACCMX,0.09035836714034831,0.3144399037013652,0.2666689251176313,0.5178246084536062,0.3001531497416127,0.41064116887809016
SAMI3-MSIS-WACCMX,0.015076413181008495,0.2389121435405464,0.207629720385374,0.31097159057267043,0.1027369225935396,0.13220168666478133
TIEGCM-Weimer,0.06507297271338301,0.023806377510793286,0.011832880613216523,0.0033073531531348263,0.052592909040950084,0.08259522349794376
TIEGCM-Heelis,0.0745882950038494,0.03237073886814611,0.026028499972347224,0.0010510454738830953,0.19168741709726186,0.1355369518857724
WAMIPE,0.07953553471871344,0.07356276109028884,0.04010647969280903,0.1547660681043279,0.04927632392569341,0.2837060158582174
WACCMX-Heelis,-0.06806943833356417,0.41360146395895625,0.3014713435476048,0.08629140739323786,0.263396120081529,0.5805994254915948
GITM,-0.07597974776765555,0.5940734113738564,0.49110198458018034,0.12141989497075077,0.3480870395208206,0.30824248066307103
GITM-FTA-MSIS,-0.047709941222929216,0.5021255021548435,0.4171900231042142,0.07840050698657562,0.26138712393199337,0.2485194141200825
